index,우편번호,주소,실시간빠른길,편한길,최적경로,무료우선,second_highest
22943,41496,대구광역시 북구 노원로9길 36,310.13,312.31,290.4,313.2,312.31
22944,41497,대구광역시 북구 노원로9길 67,294.45,294.45,294.45,311.62,294.45
22945,41498,대구광역시 북구 팔달로 17,290.26,290.26,290.26,310.84,290.26
22946,41499,대구광역시 북구 노원로1길 1,290.02,290.02,290.02,310.6,290.02
22947,41500,대구광역시 북구 노원로37길 9,294.4,294.4,294.4,312.56,294.4
22948,41501,대구광역시 북구 노원로57길 11,292.49,292.49,292.49,313.05,292.49
22949,41502,대구광역시 북구 연암로42길 7,293.85,293.85,293.85,312.03,293.85
22950,41503,대구광역시 북구 검단공단로21길 15,294.26,294.26,294.26,312.6,294.26
22951,41504,대구광역시 북구 유통단지로 103,293.68,293.68,293.68,312.02,293.68
22952,41505,대구광역시 북구 유통단지로13길 13,293.37,293.37,293.37,311.71,293.37
22953,41506,대구광역시 북구 유통단지로3길 4,293.11,293.11,293.11,311.46,293.11
22954,41507,대구광역시 북구 검단순환로5길 66,295.78,295.78,295.78,314.12,295.78
22955,41508,대구광역시 북구 검단공단로 92,294.11,294.11,294.11,312.45,294.11
22956,41509,대구광역시 북구 검단로27길 70,294.25,294.25,294.25,312.59,294.25
22957,41510,대구광역시 북구 검단로31길 36,294.76,294.76,294.76,313.1,294.76
22958,41511,대구광역시 북구 검단북로 200,295.28,295.28,295.28,313.63,295.28
22959,41512,대구광역시 북구 검단로31길 14,294.98,294.98,294.98,313.32,294.98
22960,41513,대구광역시 북구 검단로 151,295.14,295.15,295.15,313.49,295.15
22961,41514,대구광역시 북구 검단로 123,294.77,294.77,294.77,313.11,294.77
22962,41515,대구광역시 북구 유통단지로 110,294.01,294.01,294.01,312.35,294.01
22963,41516,대구광역시 북구 검단로 71,294.29,294.29,294.29,312.63,294.29
22964,41517,대구광역시 북구 대불로 43,294.0,294.0,294.0,312.33,294.0
22965,41518,대구광역시 북구 유통단지로 52,293.25,293.25,293.25,311.59,293.25
22966,41519,대구광역시 북구 동북로31길 12,293.46,293.46,293.46,311.8,293.46
22967,41520,대구광역시 북구 대불서길 16,294.41,294.41,294.41,312.75,294.41
22968,41521,대구광역시 북구 모산골길 10,295.44,295.44,295.44,313.78,295.44
22969,41522,대구광역시 북구 복현로 184,301.07,301.07,301.07,313.46,301.07
22970,41523,대구광역시 북구 복현로 181,294.86,294.86,294.86,313.19,294.86
22971,41524,대구광역시 북구 공항로 9,300.68,300.68,300.68,313.39,300.68
22972,41525,대구광역시 북구 복현로 115,300.57,300.57,300.57,312.42,300.57
22973,41526,대구광역시 북구 공항로 12,294.09,294.09,294.09,311.96,294.09
22974,41527,대구광역시 북구 복현로 35,294.81,294.81,294.81,312.69,294.81
22975,41528,대구광역시 북구 복현로8길 16,295.31,295.31,295.31,313.19,295.31
22976,41529,대구광역시 북구 복현로 15,300.8,300.8,300.8,312.97,300.8
22977,41530,대구광역시 북구 동북로 321,295.91,295.91,295.91,313.78,295.91
22978,41531,대구광역시 북구 동북로 345,296.0,296.0,296.0,313.87,296.0
22979,41532,대구광역시 북구 연암로25길 42,294.45,294.45,294.45,312.47,294.45
22980,41533,대구광역시 북구 연암로36길 2,294.71,294.71,294.71,312.73,294.71
22981,41534,대구광역시 북구 연암공원로20길 26,293.59,293.59,293.59,311.47,293.59
22982,41535,대구광역시 북구 대동로1길 12,293.55,293.55,293.55,311.42,293.55
22983,41536,대구광역시 북구 산격로14길 50,294.48,294.48,294.48,312.36,294.48
22984,41537,대구광역시 북구 연암공원로14길 55,294.28,294.28,294.28,312.03,294.28
22985,41538,대구광역시 북구 연암공원로13길 6,293.92,293.92,293.92,311.8,293.92
22986,41539,대구광역시 북구 연암로 103,293.97,293.97,293.97,311.84,293.97
22987,41540,대구광역시 북구 연암로22길 16,294.17,294.17,294.17,312.19,294.17
22988,41541,대구광역시 북구 연암로12길 6,293.55,293.55,293.55,314.14,293.55
22989,41542,대구광역시 북구 연암로 42,293.38,293.38,293.38,313.98,293.38
22990,41543,대구광역시 북구 연암로4길 56,294.27,294.27,294.27,312.49,294.27
22991,41544,대구광역시 북구 대학로9길 1,294.24,294.24,294.24,312.94,294.24
22992,41545,대구광역시 북구 노원로48길 7,293.88,293.88,293.88,312.03,293.88
22993,41546,대구광역시 북구 노원로42길 46,294.42,294.42,294.42,312.57,294.42
22994,41547,대구광역시 북구 성북로1길 3,293.09,293.09,293.09,299.74,293.09
22995,41548,대구광역시 북구 침산로 252,293.55,293.55,293.55,299.28,293.55
22996,41549,대구광역시 북구 침산로40길 7,292.84,292.84,292.84,299.49,292.84
22997,41550,대구광역시 북구 성북로5길 28,293.0,293.0,293.0,299.65,293.0
22998,41551,대구광역시 북구 침산남로13길 46,293.64,293.64,293.64,298.24,293.64
22999,41552,대구광역시 북구 오봉로 54,294.1,294.1,294.1,297.87,294.1
23000,41553,대구광역시 북구 침산남로 11,293.77,293.77,293.77,297.55,293.77
23001,41554,대구광역시 북구 노원로26길 7,291.18,291.18,291.18,297.55,291.18
23002,41555,대구광역시 북구 노원동로7길 15,291.29,291.29,291.29,297.65,291.29
23003,41556,대구광역시 북구 노원로10길 161,293.91,293.91,293.91,297.49,293.91
23004,41557,대구광역시 북구 팔달로27길 42,291.59,291.59,291.59,298.23,291.59
23005,41558,대구광역시 북구 팔달로 179,291.13,294.44,291.13,297.77,294.44
23006,41559,대구광역시 북구 침산남로19길 16,293.56,293.56,293.56,300.21,293.56
23007,41560,대구광역시 북구 침산로 170,293.34,293.34,293.34,299.99,293.34
23008,41561,대구광역시 북구 침산남로37길 27,293.72,293.72,293.72,300.37,293.72
23009,41562,대구광역시 북구 경진로1길 51,294.59,294.59,294.59,298.53,294.59
23010,41563,대구광역시 북구 경진로8길 18,295.4,295.4,295.4,298.68,295.4
23011,41564,대구광역시 북구 경대로 141,294.93,294.93,294.93,298.87,294.93
23012,41565,대구광역시 북구 경대로서19길 47,296.07,296.07,296.07,299.64,296.07
23013,41566,대구광역시 북구 경대로7길 38,294.89,294.89,294.89,301.54,294.89
23014,41567,대구광역시 북구 대현로서15길 50,294.1,294.1,294.1,300.75,294.1
23015,41568,대구광역시 북구 경대로7길 57,294.64,294.64,294.64,301.29,294.64
23016,41569,대구광역시 북구 대현로19길 50,295.64,295.64,295.64,302.3,295.64
23017,41570,대구광역시 북구 대현남로10길 9,294.66,294.66,294.66,301.31,294.66
23018,41571,대구광역시 북구 대현로 44,294.13,294.13,294.13,300.78,294.13
23019,41572,대구광역시 북구 신천동로 730,295.09,295.09,295.09,300.55,295.09
23020,41573,대구광역시 북구 대현로10길 82,295.11,295.11,295.11,300.56,295.11
23021,41574,대구광역시 북구 대현남로 6,296.29,296.29,296.29,302.94,296.29
23022,41575,대구광역시 북구 대현남로 34,296.6,296.6,296.6,300.82,296.6
23023,41576,대구광역시 북구 대현남로서4길 36,296.23,296.23,296.23,302.88,296.23
23024,41577,대구광역시 북구 칠성시장로 97,294.13,294.13,294.13,300.78,294.13
23025,41578,대구광역시 북구 칠성로19길 38,294.32,294.32,294.32,300.98,294.32
23026,41579,대구광역시 북구 중앙대로 540,294.33,294.33,294.33,300.99,294.33
23027,41580,대구광역시 북구 칠성로 96,294.75,294.75,294.75,301.4,294.75
23028,41581,대구광역시 북구 칠성남로36길 11,294.81,294.81,294.81,301.46,294.81
23029,41582,대구광역시 북구 칠성시장로5길 44,296.43,296.43,296.43,303.3,296.43
23030,41583,대구광역시 북구 칠성가구시장로 18,295.73,295.73,295.73,302.6,295.73
23031,41584,대구광역시 북구 중앙대로 581,293.47,293.47,293.47,300.34,293.47
23032,41585,대구광역시 북구 침산로 100,293.55,293.55,293.55,300.42,293.55
23033,41586,대구광역시 북구 중앙대로105길 17,294.15,294.15,294.15,301.02,294.15
23034,41587,대구광역시 북구 칠성남로 101,294.64,294.64,294.64,301.51,294.64
23035,41588,대구광역시 북구 칠성남로26길 16,294.73,294.73,294.73,301.6,294.73
23036,41589,대구광역시 북구 원대로19길 10,293.74,293.74,293.74,298.24,293.74
23037,41590,대구광역시 북구 옥산로 69,295.12,295.12,295.12,298.6,295.12
23038,41591,대구광역시 북구 침산남로 122,293.54,293.54,293.54,300.41,293.54
23039,41592,대구광역시 북구 침산로 125,293.08,293.08,293.08,299.95,293.08
23040,41593,대구광역시 북구 옥산로 103,294.87,294.87,294.87,301.74,294.87
23041,41594,대구광역시 북구 칠성남로 67,294.94,294.94,294.94,301.81,294.94
23042,41595,대구광역시 북구 고성로32길 20,295.29,295.29,295.29,298.61,295.29
23043,41596,대구광역시 북구 고성로 142,294.17,294.17,294.17,298.3,294.17
23044,41597,대구광역시 북구 칠성남로 30,295.49,295.49,295.49,298.75,295.49
23045,41598,대구광역시 북구 한강로8길 13,285.96,285.96,285.96,301.13,285.96
23046,41599,대구광역시 북구 내곡로 38,284.94,284.94,284.94,300.12,284.94
23047,41700,대구광역시 서구 금호강자전거길 1752,295.12,295.12,295.12,296.49,295.12
23048,41701,대구광역시 서구 팔달로2길 16,294.02,294.02,294.02,295.41,294.02
23049,41702,대구광역시 서구 염색공단로 20,294.64,294.64,294.64,296.02,294.64
23050,41703,대구광역시 서구 염색공단중앙로22길 29,288.42,288.42,288.42,296.23,288.42
23051,41704,대구광역시 서구 염색공단천로19길 26,288.3,295.23,288.3,296.69,295.23
23052,41705,대구광역시 서구 염색공단천로 100,289.51,294.99,289.51,296.15,294.99
23053,41706,대구광역시 서구 달서천로 16,286.81,286.81,286.81,298.01,286.81
23054,41707,대구광역시 서구 염색공단로 97,288.18,288.18,288.18,296.57,288.18
23055,41708,대구광역시 서구 염색공단로11길 56,289.98,295.45,289.98,296.62,295.45
23056,41709,대구광역시 서구 염색공단로11길 21,288.58,288.58,288.58,296.21,288.58
23057,41710,대구광역시 서구 팔달로 96,289.28,289.28,289.28,295.92,289.28
23058,41711,대구광역시 서구 서대구로61길 9,289.57,295.04,289.57,296.2,295.04
23059,41712,대구광역시 서구 달서천로 168,287.83,287.83,287.83,297.1,287.83
23060,41713,대구광역시 서구 달서천로53길 52,288.82,288.82,288.82,296.37,288.82
23061,41714,대구광역시 서구 달서천로57안길 4,289.71,289.71,289.71,296.35,289.71
23062,41715,대구광역시 서구 달서천로61길 35,290.21,290.21,290.21,296.84,290.21
23063,41716,대구광역시 서구 고성로 33,290.58,290.58,290.58,297.44,290.58
23064,41717,대구광역시 서구 고성로 40,290.4,290.4,290.4,297.26,290.4
23065,41718,대구광역시 서구 달서천로 323,289.51,289.51,289.51,298.05,289.51
23066,41719,대구광역시 서구 서대구로66길 10,290.27,297.83,290.27,297.13,297.13
23067,41720,대구광역시 서구 서대구로64안길 18,289.24,289.24,289.24,297.5,289.24
23068,41721,대구광역시 서구 서대구로64길 6,288.69,288.69,288.69,297.24,288.69
23069,41722,대구광역시 서구 달서천로49안길 11,288.75,288.75,288.75,297.48,288.75
23070,41723,대구광역시 서구 서대구로 310,290.73,290.73,290.73,297.59,290.73
23071,41724,대구광역시 서구 달서천로 231,288.84,288.84,288.84,296.91,288.84
23072,41725,대구광역시 서구 서대구로54길 33,288.31,288.31,288.31,297.88,288.31
23073,41726,대구광역시 서구 달서천로 352,289.69,289.69,289.69,297.95,289.69
23074,41727,대구광역시 서구 옥산로4길 19,291.05,291.05,291.05,311.62,291.05
23075,41728,대구광역시 서구 고성로25길 10,294.08,294.08,294.08,312.0,294.08
23076,41729,대구광역시 서구 고성로15길 20,290.98,290.98,290.98,311.55,290.98
23077,41730,대구광역시 서구 고성로 71,290.73,290.73,290.73,311.31,290.73
23078,41731,대구광역시 서구 달서천로 403,291.18,294.45,291.18,311.76,294.45
23079,41732,대구광역시 서구 달서천로 415,294.53,294.53,294.53,311.88,294.53
23080,41733,대구광역시 서구 달서천로 418,290.23,290.23,290.23,311.93,290.23
23081,41734,대구광역시 서구 달서로 240,289.79,289.79,289.79,311.77,289.79
23082,41735,대구광역시 서구 북비산로 365,290.51,295.68,290.51,313.16,295.68
23083,41736,대구광역시 서구 북비산로81길 3,290.14,295.31,290.14,312.79,295.31
23084,41737,대구광역시 서구 통학로51길 45,288.08,288.08,288.08,313.63,288.08
23085,41738,대구광역시 서구 통학로45길 22,288.69,288.69,288.69,311.81,288.69
23086,41739,대구광역시 서구 북비산로53길 8,288.63,288.63,288.63,311.76,288.63
23087,41740,대구광역시 서구 통학로50길 9,288.74,288.74,288.74,311.86,288.74
23088,41741,대구광역시 서구 통학로50길 35,289.15,289.15,289.15,312.63,289.15
23089,41742,대구광역시 서구 통학로48길 47,289.03,289.03,289.03,312.25,289.03
23090,41743,대구광역시 서구 북비산로67길 25,290.24,290.24,290.24,311.94,290.24
23091,41744,대구광역시 서구 달서로43길 23,289.49,289.49,289.49,311.88,289.49
23092,41745,대구광역시 서구 북비산로61길 18,288.88,288.88,288.88,312.36,288.88
23093,41746,대구광역시 서구 통학로48길 30,288.96,288.96,288.96,312.44,288.96
23094,41747,대구광역시 서구 북비산로59길 11,288.98,288.98,288.98,312.46,288.98
23095,41748,대구광역시 서구 가르뱅이로6길 11,286.26,286.26,286.26,312.35,286.26
23096,41749,대구광역시 서구 북비산로37길 5,287.44,287.44,287.44,313.0,287.44
23097,41750,대구광역시 서구 가르뱅이로20길 20,287.03,287.03,287.03,312.82,287.03
23098,41751,대구광역시 서구 새방로25길 32,287.28,287.28,287.28,315.04,287.28
23099,41752,대구광역시 서구 문화로 49,286.84,286.84,286.84,312.39,286.84
23100,41753,대구광역시 서구 문화로 38,286.49,286.49,286.49,312.07,286.49
23101,41754,대구광역시 서구 와룡로87길 9,287.18,287.18,287.18,312.73,287.18
23102,41755,대구광역시 서구 와룡로75길 30,287.88,287.88,287.88,313.5,287.88
23103,41756,대구광역시 서구 평리로17길 46,288.48,288.48,288.48,314.1,288.48
23104,41757,대구광역시 서구 북비산로 112,286.71,286.71,286.71,312.26,286.71
23105,41758,대구광역시 서구 문화로 123,287.52,287.52,287.52,313.07,287.52
23106,41759,대구광역시 서구 문화로14길 32,288.16,288.16,288.16,313.71,288.16
23107,41760,대구광역시 서구 당산로 458,287.73,287.73,287.73,313.36,287.73
23108,41761,대구광역시 서구 문화로33길 28,287.37,287.37,287.37,312.93,287.37
23109,41762,대구광역시 서구 서대구로 205,288.19,288.19,288.19,311.32,288.19
23110,41763,대구광역시 서구 문화로 153,287.52,287.52,287.52,313.08,287.52
23111,41764,대구광역시 서구 문화로 160,287.93,287.93,287.93,313.48,287.93
23112,41765,대구광역시 서구 국채보상로43길 32,288.25,288.25,288.25,311.38,288.25
23113,41766,대구광역시 서구 서대구로 145,288.54,288.54,288.54,311.67,288.54
23114,41767,대구광역시 서구 서대구로29길 56,288.21,288.21,288.21,313.77,288.21
23115,41768,대구광역시 서구 국채보상로 177,288.26,288.26,288.26,313.82,288.26
23116,41770,대구광역시 서구 북비산로 212,287.72,287.72,287.72,310.85,287.72
23117,41771,대구광역시 서구 통학로39길 24,288.26,288.26,288.26,311.39,288.26
23118,41772,대구광역시 서구 문화로51길 2,288.97,288.97,288.97,314.53,288.97
23119,41773,대구광역시 서구 서대구로40길 14,288.47,288.47,288.47,314.02,288.47
23120,41774,대구광역시 서구 문화로 230,288.31,288.31,288.31,311.43,288.31
23121,41775,대구광역시 서구 국채보상로57길 13,289.19,289.19,289.19,314.74,289.19
23122,41776,대구광역시 서구 서대구로34길 2,288.34,288.34,288.34,311.47,288.34
23123,41777,대구광역시 서구 국채보상로 223,289.14,289.14,289.14,312.27,289.14
23124,41778,대구광역시 서구 북비산로58길 5,288.63,288.63,288.63,314.19,288.63
23125,41779,대구광역시 서구 문화로69길 38,289.01,289.01,289.01,314.57,289.01
23126,41780,대구광역시 서구 문화로69길 26,289.13,289.13,289.13,312.07,289.13
23127,41781,대구광역시 서구 통학로40길 64,289.05,289.05,289.05,312.08,289.05
23128,41782,대구광역시 서구 문화로67길 5,289.68,289.68,289.68,312.45,289.68
23129,41783,대구광역시 서구 문화로 313,289.83,289.83,289.83,312.61,289.83
23130,41784,대구광역시 서구 북비산로60길 30,289.0,289.0,289.0,298.77,289.0
23131,41785,대구광역시 서구 북비산로60길 40,290.0,290.0,290.0,298.84,290.0
23132,41786,대구광역시 서구 문화로61길 19,288.77,288.77,288.77,311.9,288.77
23133,41787,대구광역시 서구 통학로28길 5,289.41,289.41,289.41,312.54,289.41
23134,41788,대구광역시 서구 문화로 294,288.89,288.89,288.89,312.01,288.89
23135,41789,대구광역시 서구 달서로25길 24,289.99,289.99,289.99,312.76,289.99
23136,41790,대구광역시 서구 달서로 149,289.52,289.52,289.52,312.3,289.52
23137,41791,대구광역시 서구 국채보상로67안길 21,290.09,290.09,290.09,298.93,290.09
23138,41792,대구광역시 서구 국채보상로67안길 5,290.36,290.36,290.36,299.19,290.36
23139,41793,대구광역시 서구 통학로28길 46,289.44,289.44,289.44,299.42,289.44
23140,41794,대구광역시 서구 북비산로 368,289.3,289.3,289.3,298.1,289.3
23141,41795,대구광역시 서구 북비산로76길 1,289.7,289.7,289.7,312.44,289.7
23142,41796,대구광역시 서구 달서로34길 39,289.74,289.74,289.74,312.48,289.74
23143,41797,대구광역시 서구 달서로32길 17,290.5,290.5,290.5,313.28,290.5
23144,41798,대구광역시 서구 달서로30길 6,290.3,290.3,290.3,313.07,290.3
23145,41799,대구광역시 서구 국채보상로 395,290.8,290.8,290.8,313.57,290.8
23146,41800,대구광역시 서구 달서로28길 18,290.27,290.27,290.27,313.04,290.27
23147,41801,대구광역시 서구 국채보상로83길 29,290.85,290.85,290.85,313.62,290.85
23148,41802,대구광역시 서구 달성공원로 15,290.53,290.53,290.53,313.27,290.53
23149,41803,대구광역시 서구 국채보상로76길 5,290.05,290.05,290.05,312.82,290.05
23150,41804,대구광역시 서구 달서로18길 37,290.46,290.46,290.46,313.23,290.46
23151,41805,대구광역시 서구 국채보상로 432,290.51,290.51,290.51,313.28,290.51
23152,41806,대구광역시 서구 국채보상로 438,290.6,290.6,290.6,313.38,290.6
23153,41807,대구광역시 서구 달서로12길 34,291.02,291.02,291.02,313.8,291.02
23154,41808,대구광역시 서구 국채보상로78길 49,290.97,290.97,290.97,313.75,290.97
23155,41809,대구광역시 서구 달서로 86,290.74,290.74,290.74,313.51,290.74
23156,41810,대구광역시 서구 달서로 48,291.48,294.12,291.48,314.25,294.12
23157,41811,대구광역시 서구 큰장로15길 11,291.36,291.36,291.36,314.14,291.36
23158,41812,대구광역시 서구 큰장로7길 11,291.34,293.98,291.34,314.12,293.98
23159,41813,대구광역시 서구 통학로24길 6,289.51,289.51,289.51,312.64,289.51
23160,41814,대구광역시 서구 통학로24길 13,290.01,290.01,290.01,313.13,290.01
23161,41815,대구광역시 서구 국채보상로 350,289.85,289.85,289.85,299.04,289.85
23162,41816,대구광역시 서구 국채보상로72길 13,290.11,290.11,290.11,298.95,290.11
23163,41817,대구광역시 서구 달서로15길 13,290.31,290.31,290.31,299.14,290.31
23164,41818,대구광역시 서구 통학로24길 42,289.81,289.81,289.81,299.0,289.81
23165,41819,대구광역시 서구 국채보상로66길 38,290.04,290.04,290.04,299.23,290.04
23166,41820,대구광역시 서구 국채보상로60길 50,289.88,289.88,289.88,299.06,289.88
23167,41821,대구광역시 서구 국채보상로66길 56,290.43,290.43,290.43,299.69,290.43
23168,41822,대구광역시 서구 달서로15길 58,290.24,290.24,290.24,299.79,290.24
23169,41823,대구광역시 서구 평리로85길 5,290.62,290.62,290.62,299.45,290.62
23170,41824,대구광역시 서구 국채보상로50길 6,289.0,289.0,289.0,298.18,289.0
23171,41825,대구광역시 서구 평리로73길 51,289.54,289.54,289.54,312.67,289.54
23172,41826,대구광역시 서구 평리로73길 37,289.68,289.68,289.68,312.81,289.68
23173,41827,대구광역시 서구 국채보상로50길 20,289.21,289.21,289.21,312.34,289.21
23174,41828,대구광역시 서구 국채보상로48길 48,289.52,289.52,289.52,312.65,289.52
23175,41829,대구광역시 서구 국채보상로48길 70,289.65,289.65,289.65,312.78,289.65
23176,41830,대구광역시 서구 국채보상로48길 51,289.56,289.56,289.56,312.69,289.56
23177,41831,대구광역시 서구 평리로73길 25,289.82,289.82,289.82,312.95,289.82
23178,41832,대구광역시 서구 평리로 355,289.89,289.89,289.89,313.02,289.89
23179,41833,대구광역시 서구 서대구로25길 43,289.19,289.19,289.19,314.74,289.19
23180,41834,대구광역시 서구 국채보상로 198,288.68,288.68,288.68,312.0,288.68
23181,41835,대구광역시 서구 서대구로19길 18,289.17,289.17,289.17,312.3,289.17
23182,41836,대구광역시 서구 국채보상로34안길 14,288.62,288.62,288.62,315.09,288.62
23183,41837,대구광역시 서구 국채보상로34길 48,288.63,288.63,288.63,315.03,288.63
23184,41838,대구광역시 서구 국채보상로34길 64,289.0,289.0,289.0,315.47,289.0
23185,41839,대구광역시 서구 평리로 257,289.77,289.77,289.77,313.75,289.77
23186,41840,대구광역시 서구 서대구로17길 21,289.34,289.34,289.34,313.32,289.34
23187,41841,대구광역시 서구 국채보상로20길 35,287.95,287.95,287.95,314.42,287.95
23188,41842,대구광역시 서구 평리로35길 70,288.08,288.08,288.08,314.55,288.08
23189,41843,대구광역시 서구 와룡로70길 71,288.65,288.65,288.65,315.06,288.65
23190,41844,대구광역시 서구 와룡로66안길 22,288.15,288.15,288.15,314.62,288.15
23191,41845,대구광역시 서구 와룡로62길 30,288.87,309.82,288.87,315.34,309.82
23192,41846,대구광역시 서구 당산로47길 101,288.99,288.99,288.99,315.45,288.99
23193,41847,대구광역시 서구 당산로45길 30,289.54,289.65,289.65,315.1,289.65
23194,41848,대구광역시 서구 평리로 214,289.18,289.18,289.18,314.63,289.18
23195,41849,대구광역시 서구 서대구로5길 56,289.43,289.43,289.43,315.05,289.43
23196,41850,대구광역시 서구 평리로 272,289.33,289.33,289.33,314.95,289.33
23197,41851,대구광역시 서구 서대구로7길 10,289.72,289.72,289.72,312.85,289.72
23198,41852,대구광역시 서구 서대구로3길 16,289.98,289.98,289.98,313.1,289.98
23199,41853,대구광역시 서구 서대구로3길 46,289.61,289.61,289.61,315.24,289.61
23200,41854,대구광역시 서구 평리로50길 36,289.46,289.46,289.46,315.08,289.46
23201,41855,대구광역시 서구 달구벌대로337길 29,289.81,289.81,289.81,315.43,289.81
23202,41856,대구광역시 서구 달구벌대로 1703,290.56,290.56,290.56,313.68,290.56
23203,41857,대구광역시 서구 달구벌대로 1737,290.13,290.13,290.13,313.26,290.13
23204,41858,대구광역시 서구 평리로 306,289.41,289.41,289.42,313.39,289.42
23205,41859,대구광역시 서구 서대구로8길 15,289.81,289.81,289.81,313.78,289.81
23206,41860,대구광역시 서구 달구벌대로361길 41,289.99,289.99,289.99,313.96,289.99
23207,41861,대구광역시 서구 평리로 342,290.29,290.29,290.29,313.41,290.29
23208,41862,대구광역시 서구 서대구로8길 49,290.17,290.17,290.17,313.29,290.17
23209,41863,대구광역시 서구 달구벌대로 1827,291.58,291.58,291.58,314.35,291.58
23210,41864,대구광역시 서구 서대구로4길 35,290.29,290.29,290.29,314.26,290.29
23211,41865,대구광역시 서구 달구벌대로357길 11,289.96,289.96,289.96,313.93,289.96
23212,41866,대구광역시 서구 달구벌대로 1783,293.4,293.4,293.4,315.12,293.4
23213,41867,대구광역시 서구 달구벌대로371길 45,290.54,290.54,290.54,313.74,290.54
23214,41868,대구광역시 서구 평리로 408,290.39,290.39,290.39,314.36,290.39
23215,41869,대구광역시 서구 달서로 23,290.79,290.79,290.79,314.41,290.79
23216,41870,대구광역시 서구 달구벌대로377길 16,291.19,291.19,291.19,314.81,291.19
23217,41871,대구광역시 서구 달구벌대로377길 23,290.92,290.92,290.92,314.54,290.92
23218,41872,대구광역시 서구 달구벌대로 1849,294.06,294.06,294.06,315.03,294.06
23219,41900,대구광역시 중구 원대로 13,290.26,295.15,290.26,313.84,295.15
23220,41901,대구광역시 중구 태평로 53,294.71,294.71,294.71,316.15,294.71
23221,41902,대구광역시 중구 태평로 129,294.9,294.9,294.9,315.49,294.9
23222,41903,대구광역시 중구 태평로 235,295.85,295.85,295.85,316.44,295.85
23223,41904,대구광역시 중구 태평로 255,295.66,295.66,295.66,316.25,295.66
23224,41905,대구광역시 중구 태평로 258,295.83,295.83,295.83,316.43,295.83
23225,41906,대구광역시 중구 동덕로40길 102,295.57,295.57,295.57,317.01,295.57
23226,41907,대구광역시 중구 국채보상로149길 26,295.73,295.73,295.73,317.17,295.73
23227,41908,대구광역시 중구 국채보상로139길 31,296.57,296.57,296.57,318.01,296.57
23228,41909,대구광역시 중구 중앙대로 424,295.58,295.58,295.58,317.02,295.58
23229,41910,대구광역시 중구 공평로 101,296.11,296.11,296.11,317.55,296.11
23230,41911,대구광역시 중구 국채보상로131길 32,296.15,296.15,296.15,317.59,296.15
23231,41912,대구광역시 중구 교동2길 25,296.73,296.73,296.73,318.17,296.73
23232,41913,대구광역시 중구 동성로12길 72,296.63,296.63,296.63,318.07,296.63
23233,41914,대구광역시 중구 국채보상로131길 18,296.92,296.92,296.92,318.36,296.92
23234,41915,대구광역시 중구 태평로 56,290.35,290.35,290.35,313.57,290.35
23235,41916,대구광역시 중구 북성로 65,295.27,295.27,295.27,315.86,295.27
23236,41917,대구광역시 중구 태평로 146,294.77,294.77,294.77,315.36,294.77
23237,41918,대구광역시 중구 북성로 86,294.93,294.93,294.93,315.52,294.93
23238,41919,대구광역시 중구 서성로16길 54,295.4,295.4,295.4,316.0,295.4
23239,41920,대구광역시 중구 북성로 39,294.69,294.69,294.69,315.28,294.69
23240,41921,대구광역시 중구 국채보상로99길 19,295.43,295.43,295.43,316.02,295.43
23241,41922,대구광역시 중구 달성로 111,290.33,290.33,290.33,312.7,290.33
23242,41923,대구광역시 중구 달성공원로 48,290.83,295.44,290.83,313.2,295.44
23243,41924,대구광역시 중구 달성공원로 35,290.78,290.78,290.78,314.4,290.78
23244,41925,대구광역시 중구 국채보상로93길 47,290.52,290.52,290.52,313.26,290.52
23245,41926,대구광역시 중구 큰장로28길 5,291.15,330.58,291.15,314.74,314.74
23246,41927,대구광역시 중구 큰장로24안길 33,291.23,299.68,291.23,321.12,299.68
23247,41928,대구광역시 중구 큰장로12길 90,291.15,291.15,291.15,314.74,291.15
23248,41929,대구광역시 중구 달구벌대로389길 50,299.81,299.81,299.81,321.25,299.81
23249,41930,대구광역시 중구 달구벌대로 1943,299.71,299.71,299.71,321.15,299.71
23250,41931,대구광역시 중구 달성로 50,290.99,295.59,290.99,314.12,295.59
23251,41932,대구광역시 중구 국채보상로102길 25,291.34,295.47,291.34,314.11,295.47
23252,41933,대구광역시 중구 달구벌대로 2063,298.64,298.64,298.64,319.24,298.64
23253,41934,대구광역시 중구 남성로 7,299.0,299.0,299.0,319.59,299.0
23254,41935,대구광역시 중구 진골목길 26,295.69,295.69,295.69,316.29,295.69
23255,41936,대구광역시 중구 달구벌대로 2081,298.32,298.32,298.32,318.91,298.32
23256,41937,대구광역시 중구 중앙대로 408,295.68,295.68,295.68,316.27,295.68
23257,41938,대구광역시 중구 동성로6길 77,296.67,296.67,296.67,317.26,296.67
23258,41939,대구광역시 중구 국채보상로 648,297.09,297.09,297.09,317.68,297.09
23259,41940,대구광역시 중구 공평로 26,297.74,297.74,297.74,318.33,297.74
23260,41941,대구광역시 중구 동성로6길 22,298.33,298.33,298.33,318.92,298.33
23261,41942,대구광역시 중구 동성로 6,298.17,298.17,298.17,318.76,298.17
23262,41943,대구광역시 중구 중앙대로 366,298.05,298.05,298.05,318.64,298.05
23263,41944,대구광역시 중구 국채보상로140길 32,296.55,296.55,296.55,317.14,296.55
23264,41945,대구광역시 중구 국채보상로 704,296.94,296.94,296.94,317.53,296.94
23265,41946,대구광역시 중구 국채보상로142길 37,296.34,296.34,296.34,316.94,296.34
